Frame,UTC_time,x1,y1,x2,y2,CLASS,predicted_depth,actual_depth
4201,2025-06-08 08:30:26.856249+00:00,761,203,1076,363,car,5.650747261795343,3.3543415
4201,2025-06-08 08:30:26.856249+00:00,657,225,760,300,car,11.044267243030024,11.280206
4201,2025-06-08 08:30:26.856249+00:00,1048,237,1119,280,car,5.805638930376838,4.3035364
4201,2025-06-08 08:30:26.856249+00:00,0,193,153,379,truck,6.107225006701899,5.0130343
4201,2025-06-08 08:30:26.856249+00:00,417,232,446,301,person,12.700003829656863,15.696614
4201,2025-06-08 08:30:26.856249+00:00,487,227,536,282,car,16.659131816789216,22.41302
4201,2025-06-08 08:30:26.856249+00:00,267,212,403,314,truck,10.899209415211397,9.174853
4201,2025-06-08 08:30:26.856249+00:00,561,203,637,271,truck,19.18408442478554,26.765535
4201,2025-06-08 08:30:26.856249+00:00,582,207,636,270,truck,19.764275045955884,26.928177
4202,2025-06-08 08:30:27.073163+00:00,754,209,1063,369,car,5.596040613511029,3.0931005
4202,2025-06-08 08:30:27.073163+00:00,1044,243,1144,288,car,5.898948519837623,4.3691807
4202,2025-06-08 08:30:27.073163+00:00,648,230,757,306,car,9.976058660768995,9.143677
4202,2025-06-08 08:30:27.073163+00:00,396,236,428,312,person,11.95807004442402,12.188674
4202,2025-06-08 08:30:27.073163+00:00,467,230,529,290,car,16.32870662913603,22.978718
4202,2025-06-08 08:30:27.073163+00:00,233,215,384,327,truck,9.854818905101103,9.15375
4202,2025-06-08 08:30:27.073163+00:00,551,207,634,275,truck,18.91384947533701,20.86106
4202,2025-06-08 08:30:27.073163+00:00,231,236,266,331,person,10.095116708792892,9.399138
4202,2025-06-08 08:30:27.073163+00:00,0,216,77,376,truck,6.1792764102711395,5.8517838
4202,2025-06-08 08:30:27.073163+00:00,234,215,384,326,car,10.01229918236826,9.15375
4202,2025-06-08 08:30:27.073163+00:00,582,211,634,274,truck,19.63344559015012,23.482895
4202,2025-06-08 08:30:27.073163+00:00,389,238,429,310,car,12.169938629748774,12.188674
4202,2025-06-08 08:30:27.073163+00:00,509,208,567,282,bus,16.339680989583332,18.609629
4202,2025-06-08 08:30:27.073163+00:00,5,490,1249,709,car,0.8408215840657552,0.5189831
4203,2025-06-08 08:30:27.289889+00:00,743,208,1048,366,car,5.625953823912377,3.3253186
4203,2025-06-08 08:30:27.289889+00:00,1049,240,1170,288,car,15.590369131050858,5.3953123
4203,2025-06-08 08:30:27.289889+00:00,640,229,749,305,car,8.409922880284926,9.236144
4203,2025-06-08 08:30:27.289889+00:00,170,237,216,340,person,9.239943560431986,8.525893
4203,2025-06-08 08:30:27.289889+00:00,193,210,362,334,truck,9.239943560431986,8.525893
4203,2025-06-08 08:30:27.289889+00:00,373,234,407,318,person,11.081717696844363,11.1703415
4203,2025-06-08 08:30:27.289889+00:00,549,208,631,274,truck,18.422231636795342,23.507326
4203,2025-06-08 08:30:27.289889+00:00,452,230,523,293,car,15.336499980851716,20.713943
4203,2025-06-08 08:30:27.289889+00:00,581,211,630,273,truck,19.492899576822918,24.39755
4203,2025-06-08 08:30:27.289889+00:00,499,204,560,282,bus,15.402305453431373,18.154266
4203,2025-06-08 08:30:27.289889+00:00,453,230,523,292,truck,15.397654813878676,20.713943
4203,2025-06-08 08:30:27.289889+00:00,501,204,560,281,truck,15.442391189874387,18.154266
4204,2025-06-08 08:30:27.506578+00:00,735,205,1036,362,car,5.704618566176471,3.4670362
4204,2025-06-08 08:30:27.506578+00:00,1071,235,1202,288,car,14.871929093903185,8.384774
4204,2025-06-08 08:30:27.506578+00:00,83,225,149,349,person,8.37309654086244,7.00246
4204,2025-06-08 08:30:27.506578+00:00,638,225,745,303,car,8.124250823376226,9.565117
4204,2025-06-08 08:30:27.506578+00:00,130,204,334,338,truck,8.307498109106923,4.2885504
4204,2025-06-08 08:30:27.506578+00:00,343,227,383,320,person,10.423603132659315,10.3707
4204,2025-06-08 08:30:27.506578+00:00,478,195,556,278,bus,14.787054323682598,19.216942
4204,2025-06-08 08:30:27.506578+00:00,569,205,629,272,truck,18.08811202703738,21.732023
4204,2025-06-08 08:30:27.506578+00:00,449,223,516,291,bus,14.699326459099264,19.216942
4204,2025-06-08 08:30:27.506578+00:00,4,489,1267,709,car,0.8357183419021905,-inf
4204,2025-06-08 08:30:27.506578+00:00,575,206,628,271,bus,18.643163344439337,22.305027
4205,2025-06-08 08:30:27.723189+00:00,731,204,1025,362,car,5.689999449486826,3.463376
4205,2025-06-08 08:30:27.723189+00:00,1098,233,1241,289,car,14.451976102941176,7.7001395
4205,2025-06-08 08:30:27.723189+00:00,0,230,58,369,person,7.100648169424019,5.6473117
4205,2025-06-08 08:30:27.723189+00:00,636,225,742,303,car,7.890480789483762,8.971412
4205,2025-06-08 08:30:27.723189+00:00,314,226,353,327,person,9.659158744064031,9.702541
4205,2025-06-08 08:30:27.723189+00:00,54,195,304,351,truck,7.229017669079351,4.3718
4205,2025-06-08 08:30:27.723189+00:00,573,205,630,271,truck,18.637613932291668,23.348919
4205,2025-06-08 08:30:27.723189+00:00,480,195,553,278,bus,14.078282973345589,17.176931
4205,2025-06-08 08:30:27.723189+00:00,441,223,512,294,car,13.801887063419118,16.054892
4206,2025-06-08 08:30:27.939880+00:00,725,206,1026,363,car,5.664242015165441,3.4893918
