Frame,UTC_time,x1,y1,x2,y2,CLASS,predicted_depth,actual_depth
4201,2025-06-08 08:30:26.856249+00:00,761,203,1076,363,car,3.1818985284543504,3.3543415
4201,2025-06-08 08:30:26.856249+00:00,657,225,760,300,car,6.562617283241422,11.280206
4201,2025-06-08 08:30:26.856249+00:00,1048,237,1119,280,car,3.236887015548407,4.3035364
4201,2025-06-08 08:30:26.856249+00:00,0,193,153,379,truck,4.367367015165441,5.0130343
4201,2025-06-08 08:30:26.856249+00:00,417,232,446,301,person,9.000128652535233,15.696614
4201,2025-06-08 08:30:26.856249+00:00,487,227,536,282,car,12.356792375153185,22.41302
4201,2025-06-08 08:30:26.856249+00:00,267,212,403,314,truck,7.742660223268995,9.174853
4201,2025-06-08 08:30:26.856249+00:00,561,203,637,271,truck,14.077543370863971,26.765535
4201,2025-06-08 08:30:26.856249+00:00,582,207,636,270,truck,14.472882439108457,26.928177
4202,2025-06-08 08:30:27.073163+00:00,754,209,1063,369,car,3.2286544500612746,3.0931005
4202,2025-06-08 08:30:27.073163+00:00,1044,243,1144,288,car,3.314425599341299,4.3691807
4202,2025-06-08 08:30:27.073163+00:00,648,230,757,306,car,4.816997154086244,9.143677
4202,2025-06-08 08:30:27.073163+00:00,396,236,428,312,person,8.337125292011336,12.188674
4202,2025-06-08 08:30:27.073163+00:00,467,230,529,290,car,11.517570944393382,22.978718
4202,2025-06-08 08:30:27.073163+00:00,233,215,384,327,truck,6.932896632774203,9.15375
4202,2025-06-08 08:30:27.073163+00:00,551,207,634,275,truck,15.381494858685661,20.86106
4202,2025-06-08 08:30:27.073163+00:00,231,236,266,331,person,6.932896632774203,9.399138
4202,2025-06-08 08:30:27.073163+00:00,0,216,77,376,truck,4.639762130438113,5.8517838
4202,2025-06-08 08:30:27.073163+00:00,234,215,384,326,car,6.932896632774203,9.15375
4202,2025-06-08 08:30:27.073163+00:00,582,211,634,274,truck,15.718671013327207,23.482895
4202,2025-06-08 08:30:27.073163+00:00,389,238,429,310,car,8.571237601485906,12.188674
4202,2025-06-08 08:30:27.073163+00:00,509,208,567,282,bus,13.099066042432598,18.609629
4202,2025-06-08 08:30:27.073163+00:00,5,490,1249,709,car,0.9809280844295726,0.5189831
4203,2025-06-08 08:30:27.289889+00:00,743,208,1048,366,car,3.2857022752948835,3.3253186
4203,2025-06-08 08:30:27.289889+00:00,1049,240,1170,288,car,9.219323251761642,5.3953123
4203,2025-06-08 08:30:27.289889+00:00,640,229,749,305,car,5.087133071001838,9.236144
4203,2025-06-08 08:30:27.289889+00:00,170,237,216,340,person,6.3142436906403185,8.525893
4203,2025-06-08 08:30:27.289889+00:00,193,210,362,334,truck,6.458594228707108,8.525893
4203,2025-06-08 08:30:27.289889+00:00,373,234,407,318,person,7.699684292662377,11.1703415
4203,2025-06-08 08:30:27.289889+00:00,549,208,631,274,truck,14.894421147365197,23.507326
4203,2025-06-08 08:30:27.289889+00:00,452,230,523,293,car,10.660776175704656,20.713943
4203,2025-06-08 08:30:27.289889+00:00,581,211,630,273,truck,15.56167542700674,24.39755
4203,2025-06-08 08:30:27.289889+00:00,499,204,560,282,bus,11.787398992800245,18.154266
4203,2025-06-08 08:30:27.289889+00:00,453,230,523,292,truck,10.877687940410539,20.713943
4203,2025-06-08 08:30:27.289889+00:00,501,204,560,281,truck,11.792552274816176,18.154266
4204,2025-06-08 08:30:27.506578+00:00,735,205,1036,362,car,3.4213194005629597,3.4670362
4204,2025-06-08 08:30:27.506578+00:00,1071,235,1202,288,car,9.511085659849877,8.384774
4204,2025-06-08 08:30:27.506578+00:00,83,225,149,349,person,6.100631414675245,7.00246
4204,2025-06-08 08:30:27.506578+00:00,638,225,745,303,car,5.095826990464154,9.565117
4204,2025-06-08 08:30:27.506578+00:00,130,204,334,338,truck,6.2520488664215685,4.2885504
4204,2025-06-08 08:30:27.506578+00:00,343,227,383,320,person,7.766276041666667,10.3707
4204,2025-06-08 08:30:27.506578+00:00,478,195,556,278,bus,12.383950626148897,19.216942
4204,2025-06-08 08:30:27.506578+00:00,569,205,629,272,truck,15.618130553002452,21.732023
4204,2025-06-08 08:30:27.506578+00:00,449,223,516,291,bus,11.396137312346815,19.216942
4204,2025-06-08 08:30:27.506578+00:00,4,489,1267,709,car,1.0571754305970436,-inf
4204,2025-06-08 08:30:27.506578+00:00,575,206,628,271,bus,16.10287176393995,22.305027
4205,2025-06-08 08:30:27.723189+00:00,731,204,1025,362,car,3.4252860873353246,3.463376
4205,2025-06-08 08:30:27.723189+00:00,1098,233,1241,289,car,9.054925656786152,7.7001395
4205,2025-06-08 08:30:27.723189+00:00,0,230,58,369,person,5.1160116756663605,5.6473117
4205,2025-06-08 08:30:27.723189+00:00,636,225,742,303,car,5.009575338924632,8.971412
4205,2025-06-08 08:30:27.723189+00:00,314,226,353,327,person,7.046656589882047,9.702541
4205,2025-06-08 08:30:27.723189+00:00,54,195,304,351,truck,5.3628683651194855,4.3718
4205,2025-06-08 08:30:27.723189+00:00,573,205,630,271,truck,14.042468501072303,23.348919
4205,2025-06-08 08:30:27.723189+00:00,480,195,553,278,bus,10.96929931640625,17.176931
4205,2025-06-08 08:30:27.723189+00:00,441,223,512,294,car,10.001579135071998,16.054892
